종목코드,종목명,날짜,시가,고가,저가,종가,거래량,MA5,MA10,MA20
012450,한화에어로스페이스,2026-01-29,"1,301,000","1,329,000","1,268,000","1,300,000","226,680","1,267,000원","1,287,700원","1,211,400원"
012450,한화에어로스페이스,2026-01-28,1280000,1299000,1251000,1288000,180905,"1,264,800원","1,287,100원",N/A
012450,한화에어로스페이스,2026-01-27,1295000,1295000,1230000,1230000,154527,"1,270,200원","1,285,200원",N/A
012450,한화에어로스페이스,2026-01-26,1268000,1292000,1258000,1262000,126918,"1,286,000원","1,290,400원",N/A
012450,한화에어로스페이스,2026-01-23,1281000,1289000,1234000,1255000,260134,"1,299,600원","1,285,400원",N/A
012450,한화에어로스페이스,2026-01-22,1292000,1313000,1270000,1289000,205157,"1,308,400원","1,281,300원",N/A
012450,한화에어로스페이스,2026-01-21,1312000,1328000,1281000,1315000,264111,"1,309,400원","1,261,400원",N/A
012450,한화에어로스페이스,2026-01-20,1345000,1398000,1294000,1309000,222510,"1,300,200원","1,230,900원",N/A
012450,한화에어로스페이스,2026-01-19,1316000,1339000,1292000,1330000,194888,"1,294,800원","1,202,200원",N/A
012450,한화에어로스페이스,2026-01-16,1308000,1319000,1279000,1299000,291401,"1,271,200원","1,170,400원",N/A
012450,한화에어로스페이스,2026-01-15,1312000,1329000,1269000,1294000,220568,"1,254,200원","1,135,100원",N/A
012450,한화에어로스페이스,2026-01-14,1279000,1281000,1249000,1269000,182382,"1,213,400원",N/A,N/A
012450,한화에어로스페이스,2026-01-13,1229000,1296000,1212000,1282000,322326,"1,161,600원",N/A,N/A
012450,한화에어로스페이스,2026-01-12,1256000,1257000,1186000,1212000,282589,"1,109,600원",N/A,N/A
012450,한화에어로스페이스,2026-01-09,1101000,1219000,1099000,1214000,575132,"1,069,600원",N/A,N/A
012450,한화에어로스페이스,2026-01-08,1051000,1114000,1025000,1090000,508382,"1,016,000원",N/A,N/A
012450,한화에어로스페이스,2026-01-07,1033000,1049000,988000,1010000,269662,N/A,N/A,N/A
012450,한화에어로스페이스,2026-01-06,997000,1030000,981000,1022000,279979,N/A,N/A,N/A
012450,한화에어로스페이스,2026-01-05,969000,1015000,968000,1012000,327727,N/A,N/A,N/A
012450,한화에어로스페이스,2026-01-02,953000,981000,938000,946000,144603,N/A,N/A,N/A
