종목코드,종목명,날짜,시가,고가,저가,종가,거래량,MA5,MA10,MA20
267260,HD현대일렉트릭,2026-01-28,"912,000","927,000","895,000","902,000","203,258","889,400원","897,200원","874,100원"
267260,HD현대일렉트릭,2026-01-27,871000,913000,850000,901000,171752,"887,800원","899,200원",N/A
267260,HD현대일렉트릭,2026-01-26,879000,891000,845000,872000,239517,"890,600원","897,700원",N/A
267260,HD현대일렉트릭,2026-01-23,880000,902000,871000,884000,158561,"899,800원","898,100원",N/A
267260,HD현대일렉트릭,2026-01-22,899000,909000,886000,888000,120807,"904,200원","894,500원",N/A
267260,HD현대일렉트릭,2026-01-21,891000,908000,881000,894000,121632,"905,000원","891,900원",N/A
267260,HD현대일렉트릭,2026-01-20,910000,928000,880000,915000,137308,"910,600원","884,600원",N/A
267260,HD현대일렉트릭,2026-01-19,909000,934000,906000,918000,168381,"904,800원","876,500원",N/A
267260,HD현대일렉트릭,2026-01-16,910000,915000,888000,906000,139572,"896,400원","871,500원",N/A
267260,HD현대일렉트릭,2026-01-15,920000,947000,888000,892000,277030,"884,800원","862,800원",N/A
267260,HD현대일렉트릭,2026-01-14,887000,929000,882000,922000,203916,"878,800원","851,000원",N/A
267260,HD현대일렉트릭,2026-01-13,896000,897000,857000,886000,155578,"858,600원",N/A,N/A
267260,HD현대일렉트릭,2026-01-12,866000,898000,860000,876000,189898,"848,200원",N/A,N/A
267260,HD현대일렉트릭,2026-01-09,855000,855000,825000,848000,140739,"846,600원",N/A,N/A
267260,HD현대일렉트릭,2026-01-08,812000,868000,812000,862000,219304,"840,800원",N/A,N/A
267260,HD현대일렉트릭,2026-01-07,825000,830000,814000,821000,233958,"823,200원",N/A,N/A
267260,HD현대일렉트릭,2026-01-06,826000,855000,790000,834000,428669,N/A,N/A,N/A
267260,HD현대일렉트릭,2026-01-05,819000,869000,811000,868000,165187,N/A,N/A,N/A
267260,HD현대일렉트릭,2026-01-02,774000,822000,763000,819000,132745,N/A,N/A,N/A
267260,HD현대일렉트릭,2025-12-30,779000,785000,774000,774000,91306,N/A,N/A,N/A
