종목코드,종목명,날짜,시가,고가,저가,종가,거래량,MA5,MA10,MA20
272210,한화시스템,2026-01-29,"88,100","94,200","86,200","92,800","3,060,159","89,720원","89,790원","80,915원"
272210,한화시스템,2026-01-28,88400,89100,87000,89000,1266337,"88,820원","90,160원",N/A
272210,한화시스템,2026-01-27,90100,90200,85700,87600,1077595,"88,780원","90,080원",N/A
272210,한화시스템,2026-01-26,90800,90800,87600,88800,1497315,"89,360원","90,190원",N/A
272210,한화시스템,2026-01-23,90000,94200,89400,90400,2533737,"89,760원","89,080원",N/A
272210,한화시스템,2026-01-22,89200,90300,87200,88300,1750507,"89,860원","87,730원",N/A
272210,한화시스템,2026-01-21,90200,90500,87000,88800,2174761,"91,500원","84,930원",N/A
272210,한화시스템,2026-01-20,89500,95300,89500,90500,3518034,"91,380원","81,900원",N/A
272210,한화시스템,2026-01-19,93800,94300,90800,90800,2221542,"91,020원","78,880원",N/A
272210,한화시스템,2026-01-16,95200,96300,89400,90900,3694449,"88,400원","75,600원",N/A
272210,한화시스템,2026-01-15,94900,99300,92300,96500,6896728,"85,600원","72,040원",N/A
272210,한화시스템,2026-01-14,86500,92200,85500,88200,5644565,"78,360원",N/A,N/A
272210,한화시스템,2026-01-13,77400,91100,75300,88700,14393649,"72,420원",N/A,N/A
272210,한화시스템,2026-01-12,78300,79700,74900,77700,6799053,"66,740원",N/A,N/A
272210,한화시스템,2026-01-09,62300,77300,61700,76900,21538879,"62,800원",N/A,N/A
272210,한화시스템,2026-01-08,59200,61500,58900,60300,2319754,"58,480원",N/A,N/A
272210,한화시스템,2026-01-07,59700,60300,57700,58500,1302865,N/A,N/A,N/A
272210,한화시스템,2026-01-06,57600,60400,57000,60300,1982941,N/A,N/A,N/A
272210,한화시스템,2026-01-05,56100,58000,55800,58000,1239616,N/A,N/A,N/A
272210,한화시스템,2026-01-02,55100,56100,54400,55300,689585,N/A,N/A,N/A
