종목코드,종목명,날짜,시가,고가,저가,종가,거래량,MA5,MA10,MA20
005930,삼성전자,2026-01-27,"150,500","159,500","149,200","159,500","28,800,154","153,100원","149,310원","141,660원"
005930,삼성전자,2026-01-26,154900,156400,151500,152100,20561689,"150,240원","147,120원",N/A
005930,삼성전자,2026-01-23,154700,156000,150100,152100,25407497,"149,680원","145,790원",N/A
005930,삼성전자,2026-01-22,155000,157000,150800,152300,32073624,"149,040원","144,480원",N/A
005930,삼성전자,2026-01-21,141900,149800,141800,149500,31703610,"147,360원","143,130원",N/A
005930,삼성전자,2026-01-20,148500,149300,143900,145200,24059218,"145,520원","142,280원",N/A
005930,삼성전자,2026-01-19,147200,150600,146600,149300,22762497,"144,000원","141,650원",N/A
005930,삼성전자,2026-01-16,145300,149500,144300,148900,30000219,"141,900원","140,530원",N/A
005930,삼성전자,2026-01-15,139000,144000,138300,143900,24701126,"139,920원","138,490원",N/A
005930,삼성전자,2026-01-14,137000,140300,136800,140300,18444394,"138,900원","136,090원",N/A
005930,삼성전자,2026-01-13,139800,140200,136900,137600,22384699,"139,040원","134,010원",N/A
005930,삼성전자,2026-01-12,141000,142000,136900,138800,26271134,"139,300원",N/A,N/A
005930,삼성전자,2026-01-09,136000,140700,135200,139000,29520566,"139,160원",N/A,N/A
005930,삼성전자,2026-01-08,138300,144500,138300,138800,41449329,"137,060원",N/A,N/A
005930,삼성전자,2026-01-07,143500,144400,137600,141000,46317413,"133,280원",N/A,N/A
005930,삼성전자,2026-01-06,135300,139300,132700,138900,45321341,"128,980원",N/A,N/A
005930,삼성전자,2026-01-05,134600,138600,133600,138100,42863376,N/A,N/A,N/A
005930,삼성전자,2026-01-02,120200,128500,120200,128500,30463279,N/A,N/A,N/A
005930,삼성전자,2025-12-30,119100,121200,118700,119900,19746349,N/A,N/A,N/A
005930,삼성전자,2025-12-29,119400,119700,118200,119500,19676004,N/A,N/A,N/A
