종목코드,종목명,날짜,시가,고가,저가,종가,거래량,MA5,MA10,MA20
012330,현대모비스,2026-01-29,"450,500","460,500","446,500","457,000","676,367","457,400원","456,750원","430,150원"
012330,현대모비스,2026-01-28,466000,468250,446000,447000,586775,"456,700원","456,100원",N/A
012330,현대모비스,2026-01-27,441500,467000,439000,460000,529631,"464,800원","456,400원",N/A
012330,현대모비스,2026-01-26,460500,476000,456000,465500,523224,"463,000원","455,500원",N/A
012330,현대모비스,2026-01-23,447000,466500,444000,457500,637298,"461,400원","448,350원",N/A
012330,현대모비스,2026-01-22,497000,499500,451500,453500,1272206,"456,100원","442,550원",N/A
012330,현대모비스,2026-01-21,435500,491000,434500,487500,1202269,"455,500원","436,300원",N/A
012330,현대모비스,2026-01-20,461000,474000,439000,451000,531236,"448,000원","426,800원",N/A
012330,현대모비스,2026-01-19,431500,462500,430000,457500,761480,"448,000원","418,300원",N/A
012330,현대모비스,2026-01-16,449000,449500,428500,431000,648235,"435,300원","409,750원",N/A
012330,현대모비스,2026-01-15,444000,459000,440500,450500,606056,"429,000원","403,550원",N/A
012330,현대모비스,2026-01-14,448000,453000,433000,450000,672126,"417,100원",N/A,N/A
012330,현대모비스,2026-01-13,402500,468500,402000,451000,1659185,"405,600원",N/A,N/A
012330,현대모비스,2026-01-12,418000,418000,389500,394000,585772,"388,600원",N/A,N/A
012330,현대모비스,2026-01-09,399500,402500,382500,399500,517573,"384,200원",N/A,N/A
012330,현대모비스,2026-01-08,404500,404500,390000,391000,470773,"378,100원",N/A,N/A
012330,현대모비스,2026-01-07,368000,403500,367000,392500,983557,N/A,N/A,N/A
012330,현대모비스,2026-01-06,380500,390000,363000,366000,614394,N/A,N/A,N/A
012330,현대모비스,2026-01-05,371000,382500,367000,372000,239154,N/A,N/A,N/A
012330,현대모비스,2026-01-02,374000,385000,365000,369000,230839,N/A,N/A,N/A
