종목코드,종목명,날짜,시가,고가,저가,종가,거래량,MA5,MA10,MA20
005930,삼성전자,2026-01-31,"160,100","166,500","160,100","160,500","39,013,626","160,720원","155,480원","148,565원"
005930,삼성전자,2026-01-30,"160,100","166,500","160,100","160,500","39,013,626","159,040원","154,360원","147,445원"
005930,삼성전자,2026-01-29,166200,166600,157100,160700,36087223,"157,360원","153,200원",N/A
005930,삼성전자,2026-01-28,162600,163300,160200,162400,29456431,"155,680원","151,520원",N/A
005930,삼성전자,2026-01-27,150500,159500,149200,159500,29423670,"153,100원","149,310원",N/A
005930,삼성전자,2026-01-26,154900,156400,151500,152100,20561689,"150,240원","147,120원",N/A
005930,삼성전자,2026-01-23,154700,156000,150100,152100,25407497,"149,680원","145,790원",N/A
005930,삼성전자,2026-01-22,155000,157000,150800,152300,32073624,"149,040원","144,480원",N/A
005930,삼성전자,2026-01-21,141900,149800,141800,149500,31703610,"147,360원","143,130원",N/A
005930,삼성전자,2026-01-20,148500,149300,143900,145200,24059218,"145,520원","142,280원",N/A
005930,삼성전자,2026-01-19,147200,150600,146600,149300,22762497,"144,000원","141,650원",N/A
005930,삼성전자,2026-01-16,145300,149500,144300,148900,30000219,"141,900원","140,530원",N/A
005930,삼성전자,2026-01-15,139000,144000,138300,143900,24701126,"139,920원",N/A,N/A
005930,삼성전자,2026-01-14,137000,140300,136800,140300,18444394,"138,900원",N/A,N/A
005930,삼성전자,2026-01-13,139800,140200,136900,137600,22384699,"139,040원",N/A,N/A
005930,삼성전자,2026-01-12,141000,142000,136900,138800,26271134,"139,300원",N/A,N/A
005930,삼성전자,2026-01-09,136000,140700,135200,139000,29520566,"139,160원",N/A,N/A
005930,삼성전자,2026-01-08,138300,144500,138300,138800,41449329,N/A,N/A,N/A
005930,삼성전자,2026-01-07,143500,144400,137600,141000,46317413,N/A,N/A,N/A
005930,삼성전자,2026-01-06,135300,139300,132700,138900,45321341,N/A,N/A,N/A
